ticket_code,employee_id,technician_id,date_created,date_resolved,issue_category,issue_subcategory,priority,status,channel,resolution_time_hours,sla_target_hours,sla_met,satisfaction_score
TKT-00032,134,2,2026-08-12 15:32:00,2026-08-13 03:19:24,Software,Microsoft 365 Issue,Medium,Resolved,Email,11.79,24,1,5
TKT-00033,464,10,2025-05-21 14:41:00,2025-05-21 21:20:36,Account Access,Locked Account,Medium,Resolved,Phone,6.66,24,1,5
TKT-00034,289,8,2026-04-10 10:09:00,2026-04-11 02:14:24,Software,Application Crash,Low,Resolved,Portal,16.09,48,1,4
TKT-00035,87,4,2025-10-23 16:57:00,2025-10-24 04:13:48,Printing,Print Queue Stuck,Medium,Resolved,Portal,11.28,24,1,5
TKT-00036,71,5,2025-04-28 14:12:00,2025-04-30 11:10:12,Network,Slow Network,Medium,Resolved,Phone,44.97,24,0,2
TKT-00037,139,7,2025-06-25 07:35:00,2025-06-25 23:14:00,Software,Application Crash,Medium,Resolved,Portal,15.65,24,1,4
TKT-00038,142,12,2026-08-20 13:32:00,2026-08-24 01:43:24,Software,Application Access,Low,Resolved,Portal,84.19,48,0,2
TKT-00039,230,12,2026-06-17 12:37:00,2026-06-17 23:05:12,Account Access,Locked Account,Medium,Resolved,Portal,10.47,24,1,3
TKT-00040,381,9,2025-09-18 18:15:00,2025-09-19 08:37:48,Account Access,Password Reset,High,Resolved,Portal,14.38,8,0,1
TKT-00041,374,10,2025-01-31 19:31:00,2025-01-31 22:02:48,Network,No Internet Access,Critical,Resolved,Walk-up,2.53,4,1,4
TKT-00042,159,7,2026-08-26 17:52:00,2026-08-27 04:34:00,Account Access,Locked Account,High,Resolved,Portal,10.70,8,0,2
TKT-00043,151,11,2026-02-05 17:13:00,2026-02-06 01:23:48,Software,Software Installation,Medium,Resolved,Email,8.18,24,1,5
TKT-00044,459,6,2025-12-10 13:57:00,2025-12-10 20:00:36,Network,Wi-Fi Connectivity,High,Resolved,Portal,6.06,8,1,4
TKT-00045,298,9,2025-02-11 08:20:00,2025-02-11 19:30:12,Printing,Driver Issue,Medium,Closed,Walk-up,11.17,24,1,5
TKT-00046,334,5,2025-04-03 13:55:00,2025-04-07 20:04:36,Account Access,Password Reset,Low,Resolved,Portal,102.16,48,0,1
TKT-00047,453,5,2025-10-27 15:39:00,2025-10-29 05:09:00,Network,Wi-Fi Connectivity,Medium,Resolved,Walk-up,37.50,24,0,2
TKT-00048,231,11,2025-08-27 13:11:00,2025-08-27 18:06:12,Account Access,MFA Issue,Medium,Closed,Portal,4.92,24,1,4
TKT-00049,243,2,2025-12-31 12:26:00,2026-01-01 08:57:12,Software,Browser Issue,Low,Resolved,Portal,20.52,48,1,3
TKT-00050,146,6,2025-04-03 15:25:00,2025-04-03 22:05:12,Software,Application Access,Medium,Resolved,Portal,6.67,24,1,5
TKT-00051,479,10,2026-04-03 12:48:00,2026-04-04 20:22:48,Software,Microsoft 365 Issue,Medium,Resolved,Phone,31.58,24,0,2
TKT-00052,281,4,2025-06-19 19:54:00,2025-06-20 02:43:12,Network,Wi-Fi Connectivity,Medium,Resolved,Email,6.82,24,1,4
TKT-00053,141,10,2025-12-17 13:06:00,2025-12-17 15:15:00,Security,Phishing Report,High,Resolved,Walk-up,2.15,8,1,5
TKT-00054,276,3,2025-09-30 13:13:00,2025-09-30 16:32:48,Account Access,MFA Issue,Medium,Resolved,Portal,3.33,24,1,4
TKT-00055,143,9,2025-03-05 11:54:00,2025-03-07 16:15:36,Software,Application Crash,Medium,Resolved,Walk-up,52.36,24,0,1
TKT-00056,46,9,2026-05-04 11:17:00,2026-05-04 21:54:12,Hardware,Monitor Issue,Medium,Resolved,Email,10.62,24,1,4
TKT-00057,84,7,2025-08-27 19:32:00,2025-08-28 03:27:12,Printing,Print Queue Stuck,Medium,Resolved,Email,7.92,24,1,5
TKT-00058,226,5,2025-05-27 10:19:00,2025-05-29 08:51:24,Network,VPN Connection,Medium,Closed,Walk-up,46.54,24,0,1
TKT-00059,142,9,2025-12-19 16:08:00,2025-12-20 18:56:36,Hardware,Docking Station,Low,Resolved,Email,26.81,48,1,5
TKT-00060,294,11,2025-05-01 17:00:00,2025-05-02 16:58:12,Hardware,Docking Station,Medium,Resolved,Portal,23.97,24,1,5
TKT-00061,428,11,2025-04-30 13:48:00,2025-04-30 23:06:00,Software,Microsoft 365 Issue,Medium,Resolved,Portal,9.30,24,1,5
TKT-00062,452,2,2025-11-20 18:05:00,2025-11-21 10:17:00,Security,Malware Alert,High,Resolved,Portal,16.20,8,0,2
TKT-00063,464,10,2026-04-30 12:35:00,2026-04-30 13:50:00,Account Access,Password Reset,Medium,Resolved,Portal,1.25,24,1,5
TKT-00064,7,8,2025-06-09 11:51:00,2025-06-10 08:51:00,Security,Malware Alert,Medium,Resolved,Email,21.00,24,1,5
TKT-00065,449,1,2025-01-10 11:35:00,2025-01-11 01:39:12,Printing,Driver Issue,Low,Resolved,Portal,14.07,48,1,5
TKT-00066,127,2,2025-01-14 12:24:00,2025-01-14 16:41:24,Network,Wi-Fi Connectivity,High,Resolved,Walk-up,4.29,8,1,4
TKT-00067,364,2,2026-03-24 07:49:00,2026-03-24 15:41:12,Security,Malware Alert,Medium,Closed,Portal,7.87,24,1,4
TKT-00068,108,1,2025-01-03 09:01:00,2025-01-03 09:43:36,Account Access,Locked Account,Critical,Closed,Walk-up,0.71,4,1,4
TKT-00069,175,6,2025-02-20 15:36:00,2025-02-21 06:25:12,Software,Microsoft 365 Issue,Medium,Closed,Email,14.82,24,1,5
TKT-00070,394,2,2025-05-07 13:22:00,2025-05-07 21:42:24,Hardware,Monitor Issue,High,Resolved,Email,8.34,8,0,3
TKT-00071,310,2,2025-06-05 14:27:00,2025-06-05 16:24:00,Account Access,Password Reset,Medium,Resolved,Email,1.95,24,1,4
TKT-00072,492,4,2025-04-21 17:44:00,2025-04-21 22:38:36,Hardware,Laptop Performance,High,Resolved,Email,4.91,8,1,5
TKT-00073,387,6,2026-01-07 09:36:00,2026-01-07 18:09:36,Account Access,MFA Issue,Medium,Closed,Email,8.56,24,1,3
TKT-00074,173,11,2026-07-21 09:35:00,2026-07-22 09:39:48,Hardware,Keyboard/Mouse,Low,Closed,Portal,24.08,48,1,5
TKT-00075,420,2,2025-06-24 13:58:00,2025-06-25 21:05:48,Software,Microsoft 365 Issue,Low,Closed,Portal,31.13,48,1,4
TKT-00076,128,6,2025-02-11 11:23:00,2025-02-15 08:53:00,Account Access,MFA Issue,Low,Resolved,Portal,93.50,48,0,1
TKT-00077,172,6,2026-02-10 08:05:00,2026-02-10 15:19:24,Account Access,Locked Account,Medium,Resolved,Portal,7.24,24,1,4
TKT-00078,180,9,2025-02-27 11:18:00,2025-02-28 02:57:36,Software,Microsoft 365 Issue,Medium,Resolved,Portal,15.66,24,1,4
TKT-00079,340,10,2026-04-30 11:33:00,2026-05-01 01:58:48,Software,Browser Issue,High,Closed,Portal,14.43,8,0,3
TKT-00080,376,1,2025-09-30 09:08:00,2025-09-30 11:41:00,Account Access,MFA Issue,High,Resolved,Portal,2.55,8,1,5
TKT-00081,290,3,2025-12-18 15:45:00,2025-12-18 22:25:48,Printing,Printer Offline,Medium,Closed,Walk-up,6.68,24,1,3
TKT-00082,369,6,2025-01-10 11:51:00,2025-01-10 13:39:00,Security,Phishing Report,High,Resolved,Phone,1.80,8,1,3
TKT-00083,268,3,2025-11-04 14:43:00,2025-11-05 03:57:24,Account Access,MFA Issue,High,Resolved,Email,13.24,8,0,2
TKT-00084,410,4,2026-08-10 10:44:00,2026-08-10 19:18:12,Printing,Printer Permissions,Medium,Resolved,Portal,8.57,24,1,3
TKT-00085,303,9,2025-08-06 15:18:00,2025-08-11 01:30:00,Software,Application Crash,Low,Resolved,Portal,106.20,48,0,2
TKT-00086,376,9,2025-05-14 17:35:00,2025-05-14 23:12:48,Software,Application Access,Medium,Resolved,Phone,5.63,24,1,4
TKT-00087,194,5,2025-04-23 09:10:00,2025-04-23 22:01:36,Account Access,Password Reset,High,Closed,Portal,12.86,8,0,2
TKT-00088,62,8,2025-07-11 07:33:00,2025-07-11 08:55:48,Printing,Print Queue Stuck,High,Resolved,Portal,1.38,8,1,4
TKT-00089,217,9,2025-10-31 13:19:00,2025-10-31 21:34:36,Software,Software Installation,High,Closed,Email,8.26,8,0,2
TKT-00090,263,6,2026-08-27 16:11:00,2026-08-27 22:35:36,Hardware,Battery/Power,High,Closed,Email,6.41,8,1,4
TKT-00091,165,5,2026-03-23 11:38:00,2026-03-23 22:49:24,Account Access,MFA Issue,Medium,Resolved,Phone,11.19,24,1,5
TKT-00092,298,11,2026-06-30 18:24:00,2026-07-01 18:00:36,Software,Application Crash,Medium,Resolved,Portal,23.61,24,1,3
TKT-00093,283,5,2026-03-18 15:10:00,2026-03-19 06:50:48,Account Access,Locked Account,Medium,Resolved,Portal,15.68,24,1,3
TKT-00094,358,1,2026-02-13 10:41:00,2026-02-14 03:42:12,Network,Slow Network,Medium,Closed,Phone,17.02,24,1,5
TKT-00095,22,9,2026-08-04 17:38:00,2026-08-05 10:30:48,Security,Unauthorized Access Concern,Medium,Closed,Portal,16.88,24,1,4
TKT-00096,39,3,2025-01-06 18:51:00,2025-01-06 22:53:24,Security,Lost/Stolen Device,High,Resolved,Portal,4.04,8,1,5
TKT-00097,77,4,2026-08-04 11:09:00,2026-08-04 21:24:36,Software,Software Installation,Medium,Resolved,Email,10.26,24,1,5
TKT-00098,329,1,2025-10-20 10:56:00,2025-10-20 14:44:00,Software,Browser Issue,High,Resolved,Portal,3.80,8,1,4
TKT-00099,294,12,2025-11-19 15:51:00,2025-11-19 18:46:48,Security,Phishing Report,High,Resolved,Walk-up,2.93,8,1,4
TKT-00100,119,3,2026-04-10 08:59:00,2026-04-10 15:01:24,Network,Wi-Fi Connectivity,High,Resolved,Phone,6.04,8,1,4
TKT-00101,68,1,2026-01-02 09:20:00,2026-01-02 13:38:36,Software,Microsoft 365 Issue,Medium,Resolved,Phone,4.31,24,1,4
TKT-00102,331,5,2026-04-14 17:52:00,2026-04-14 19:46:00,Account Access,Locked Account,High,Closed,Phone,1.90,8,1,4
TKT-00103,167,8,2025-08-29 09:59:00,2025-08-29 11:45:48,Hardware,Laptop Performance,Critical,Resolved,Email,1.78,4,1,4
TKT-00104,403,6,2026-03-02 10:53:00,2026-03-02 20:29:36,Printing,Print Queue Stuck,Medium,Resolved,Portal,9.61,24,1,5
TKT-00105,1,11,2025-12-05 15:55:00,2025-12-06 05:07:00,Network,VPN Connection,High,Resolved,Phone,13.20,8,0,3
TKT-00106,153,11,2026-03-23 10:14:00,2026-03-23 18:03:12,Security,Lost/Stolen Device,High,Resolved,Portal,7.82,8,1,5
TKT-00107,411,8,2025-01-08 18:51:00,2025-01-09 05:37:12,Account Access,MFA Issue,Medium,Resolved,Portal,10.77,24,1,4
TKT-00108,422,6,2025-08-26 11:56:00,2025-08-26 17:10:24,Network,VPN Connection,High,Resolved,Email,5.24,8,1,4
TKT-00109,169,3,2025-06-12 17:09:00,2025-06-13 08:07:48,Software,Software Installation,Medium,Resolved,Portal,14.98,24,1,5
TKT-00110,486,8,2026-03-19 09:12:00,2026-03-20 10:19:48,Software,Browser Issue,Medium,Closed,Phone,25.13,24,0,2
TKT-00111,281,5,2025-08-29 15:48:00,2025-08-29 19:41:24,Software,Application Access,High,Resolved,Portal,3.89,8,1,5
TKT-00112,83,4,2025-08-28 14:41:00,2025-08-29 12:04:24,Network,No Internet Access,Medium,Resolved,Portal,21.39,24,1,4
TKT-00113,340,7,2025-11-26 16:20:00,2025-11-27 02:13:24,Account Access,MFA Issue,Medium,Resolved,Portal,9.89,24,1,4
TKT-00114,363,5,2025-03-12 18:45:00,2025-03-13 00:18:00,Hardware,Docking Station,High,Resolved,Walk-up,5.55,8,1,5
TKT-00115,37,12,2025-02-03 12:39:00,2025-02-03 18:01:12,Software,Browser Issue,High,Resolved,Email,5.37,8,1,5
TKT-00116,487,5,2025-07-08 14:10:00,2025-07-10 02:51:24,Software,Software Installation,Medium,Resolved,Phone,36.69,24,0,3
TKT-00117,57,12,2025-11-19 12:39:00,2025-11-19 16:12:36,Security,Malware Alert,Medium,Resolved,Email,3.56,24,1,4
TKT-00118,341,5,2025-07-08 18:18:00,2025-07-09 02:00:00,Software,Application Access,Medium,Resolved,Portal,7.70,24,1,4
TKT-00119,493,10,2025-05-02 12:17:00,2025-05-02 17:54:12,Software,Software Installation,Medium,Resolved,Walk-up,5.62,24,1,3
TKT-00120,279,7,2025-12-01 19:56:00,2025-12-02 02:01:24,Printing,Print Queue Stuck,Medium,Resolved,Portal,6.09,24,1,5
TKT-00121,253,5,2026-02-26 10:58:00,2026-02-26 11:14:48,Account Access,Password Reset,High,Closed,Portal,0.28,8,1,4
TKT-00122,453,12,2026-08-28 11:04:00,2026-08-29 01:59:12,Security,Suspicious Email,Medium,Resolved,Portal,14.92,24,1,4
TKT-00123,21,3,2026-05-18 09:25:00,2026-05-18 15:10:36,Security,Suspicious Email,High,Closed,Portal,5.76,8,1,4
TKT-00124,45,1,2026-04-20 11:10:00,2026-04-21 02:22:36,Software,Application Access,Medium,Resolved,Portal,15.21,24,1,3
TKT-00125,45,2,2025-10-01 10:23:00,2025-10-01 16:41:36,Hardware,Docking Station,Medium,Closed,Phone,6.31,24,1,4
TKT-00126,464,6,2025-03-17 16:22:00,2025-03-19 06:53:12,Account Access,Permissions Request,Medium,Resolved,Phone,38.52,24,0,1
TKT-00127,131,6,2026-02-06 10:47:00,2026-02-06 12:11:00,Software,Application Crash,Critical,Resolved,Email,1.40,4,1,5
TKT-00128,433,10,2025-06-23 08:30:00,2025-06-23 15:53:24,Network,VPN Connection,High,Resolved,Phone,7.39,8,1,5
TKT-00129,88,9,2025-01-15 18:59:00,2025-01-17 10:04:24,Network,Wi-Fi Connectivity,Low,Resolved,Portal,39.09,48,1,5
TKT-00130,382,12,2025-03-25 11:56:00,2025-03-26 03:30:12,Software,Software Installation,Low,Resolved,Portal,15.57,48,1,5
TKT-00131,302,5,2025-02-19 10:24:00,2025-02-20 02:55:48,Network,Wi-Fi Connectivity,High,Resolved,Portal,16.53,8,0,1
TKT-00132,45,10,2025-03-28 10:55:00,2025-03-28 16:52:36,Account Access,MFA Issue,Medium,Resolved,Email,5.96,24,1,5
TKT-00133,200,9,2026-05-26 10:40:00,2026-05-28 14:00:24,Account Access,Password Reset,Low,Resolved,Portal,51.34,48,0,3
TKT-00134,465,11,2025-12-04 14:50:00,2025-12-05 22:29:36,Hardware,Laptop Won't Start,Medium,Resolved,Email,31.66,24,0,2
TKT-00135,396,6,2026-02-12 16:42:00,2026-02-13 07:34:12,Account Access,MFA Issue,High,Closed,Phone,14.87,8,0,1
TKT-00136,443,2,2025-09-11 17:28:00,2025-09-12 02:33:24,Software,Software Installation,Medium,Resolved,Portal,9.09,24,1,5
TKT-00137,417,9,2025-01-31 14:05:00,2025-02-04 07:26:36,Account Access,MFA Issue,Low,Resolved,Portal,89.36,48,0,1
TKT-00138,109,5,2025-01-31 16:11:00,2025-02-01 07:09:12,Software,Application Access,Medium,Resolved,Portal,14.97,24,1,4
TKT-00139,346,4,2026-03-06 14:46:00,2026-03-07 00:17:12,Security,Lost/Stolen Device,High,Resolved,Email,9.52,8,0,2
TKT-00140,41,1,2026-03-18 10:37:00,2026-03-18 23:19:36,Account Access,Permissions Request,Low,Resolved,Portal,12.71,48,1,4
TKT-00141,306,8,2025-11-07 08:36:00,2025-11-07 09:42:00,Account Access,Password Reset,High,Closed,Portal,1.10,8,1,4
TKT-00142,308,4,2025-03-03 11:08:00,2025-03-03 23:51:12,Account Access,Locked Account,Low,Resolved,Portal,12.72,48,1,5
TKT-00143,2,7,2026-07-15 13:29:00,2026-07-15 20:35:36,Printing,Printer Offline,Medium,Closed,Phone,7.11,24,1,4
TKT-00144,25,12,2025-09-09 15:09:00,2025-09-09 18:49:12,Software,Microsoft 365 Issue,Critical,Resolved,Portal,3.67,4,1,5
TKT-00145,91,6,2026-06-01 17:52:00,2026-06-03 04:10:36,Network,VPN Connection,Medium,Resolved,Portal,34.31,24,0,2
TKT-00146,173,2,2025-01-06 13:10:00,2025-01-06 16:24:24,Software,Application Crash,High,Resolved,Phone,3.24,8,1,5
TKT-00147,330,2,2026-06-10 08:37:00,2026-06-10 14:50:48,Printing,Print Queue Stuck,Medium,Resolved,Phone,6.23,24,1,4
TKT-00148,205,4,2025-12-15 11:57:00,2025-12-15 20:42:00,Account Access,Locked Account,Medium,Resolved,Email,8.75,24,1,4
TKT-00149,27,9,2025-11-27 18:13:00,2025-11-27 21:21:24,Security,Phishing Report,Critical,Closed,Portal,3.14,4,1,4
TKT-00150,217,3,2025-01-16 11:02:00,2025-01-17 04:39:12,Software,Software Installation,Medium,Closed,Portal,17.62,24,1,5
TKT-00151,374,3,2026-01-19 11:46:00,2026-01-19 16:43:00,Account Access,MFA Issue,Medium,Resolved,Phone,4.95,24,1,3
TKT-00152,230,4,2025-07-17 13:01:00,2025-07-17 15:01:36,Account Access,Password Reset,High,Resolved,Portal,2.01,8,1,3
TKT-00153,126,2,2026-01-05 13:32:00,2026-01-05 18:14:00,Network,Wi-Fi Connectivity,High,Resolved,Email,4.70,8,1,5
TKT-00154,480,10,2025-11-14 16:45:00,2025-11-14 18:20:24,Account Access,Password Reset,Medium,Closed,Phone,1.59,24,1,5
TKT-00155,476,5,2025-10-24 15:56:00,2025-10-24 18:24:48,Account Access,Password Reset,Medium,Closed,Portal,2.48,24,1,4
TKT-00156,200,3,2025-02-28 14:46:00,2025-02-28 17:50:12,Account Access,Password Reset,Medium,Resolved,Email,3.07,24,1,4
TKT-00157,350,1,2025-07-16 14:00:00,2025-07-21 07:06:00,Hardware,Laptop Performance,Low,Resolved,Portal,113.10,48,0,1
TKT-00158,444,5,2026-05-08 17:13:00,2026-05-08 23:35:12,Software,Application Crash,Medium,Closed,Portal,6.37,24,1,5
TKT-00159,305,2,2025-03-07 13:12:00,2025-03-08 08:04:48,Security,Malware Alert,High,Closed,Portal,18.88,8,0,3
TKT-00160,389,1,2025-09-01 13:36:00,2025-09-01 18:46:12,Network,VPN Connection,High,Resolved,Portal,5.17,8,1,5
TKT-00161,64,2,2025-01-10 13:48:00,2025-01-10 15:25:12,Security,Malware Alert,High,Resolved,Portal,1.62,8,1,5
TKT-00162,287,5,2026-07-30 18:47:00,2026-07-30 20:56:36,Network,No Internet Access,High,Resolved,Phone,2.16,8,1,4
TKT-00163,363,6,2025-05-19 12:26:00,2025-05-21 07:47:36,Account Access,Locked Account,Medium,Resolved,Portal,43.36,24,0,3
TKT-00164,460,10,2025-01-24 13:19:00,2025-01-26 00:24:24,Network,Slow Network,Medium,Resolved,Portal,35.09,24,0,1
TKT-00165,108,2,2026-06-29 16:18:00,2026-06-29 20:06:36,Printing,Driver Issue,Medium,Resolved,Phone,3.81,24,1,3
TKT-00166,170,11,2025-01-07 10:05:00,2025-01-07 10:54:48,Account Access,Password Reset,Medium,Closed,Portal,0.83,24,1,4
TKT-00167,12,12,2026-07-21 14:21:00,2026-07-22 05:06:00,Network,No Internet Access,High,Resolved,Phone,14.75,8,0,1
TKT-00168,452,4,2025-09-11 16:48:00,2025-09-13 16:58:48,Hardware,Monitor Issue,Medium,Resolved,Portal,48.18,24,0,2
TKT-00169,457,7,2025-02-28 07:00:00,2025-02-28 12:54:00,Hardware,Battery/Power,Medium,Closed,Email,5.90,24,1,5
TKT-00170,449,10,2025-01-15 18:24:00,2025-01-15 20:16:12,Account Access,Locked Account,Medium,Closed,Portal,1.87,24,1,4
TKT-00171,476,2,2025-07-14 11:18:00,2025-07-14 15:43:48,Account Access,Password Reset,Medium,Resolved,Portal,4.43,24,1,4
TKT-00172,410,10,2025-09-09 16:36:00,2025-09-09 23:03:36,Network,Wi-Fi Connectivity,High,Closed,Email,6.46,8,1,4
TKT-00173,332,3,2025-03-25 11:37:00,2025-03-26 10:32:12,Software,Software Installation,Medium,Resolved,Email,22.92,24,1,4
TKT-00174,133,2,2025-11-12 10:57:00,2025-11-12 16:14:24,Printing,Printer Permissions,High,Closed,Walk-up,5.29,8,1,4
TKT-00175,335,11,2025-01-13 08:20:00,2025-01-13 15:27:12,Network,DNS Resolution,Medium,Resolved,Phone,7.12,24,1,4
TKT-00176,135,1,2025-12-09 13:01:00,2025-12-09 14:02:12,Security,Unauthorized Access Concern,Critical,Resolved,Portal,1.02,4,1,4
TKT-00177,307,1,2025-04-11 12:06:00,2025-04-11 17:45:00,Account Access,MFA Issue,High,Resolved,Portal,5.65,8,1,4
TKT-00178,470,11,2025-10-20 10:32:00,2025-10-20 18:20:00,Software,Application Access,Medium,Resolved,Portal,7.80,24,1,3
TKT-00179,352,6,2025-04-04 15:37:00,2025-04-04 21:16:00,Security,Malware Alert,Medium,Resolved,Email,5.65,24,1,4
TKT-00180,174,3,2025-08-29 09:05:00,2025-09-02 07:51:12,Software,Software Installation,Low,Resolved,Portal,94.77,48,0,1
TKT-00181,11,11,2026-07-07 11:19:00,2026-07-09 10:55:36,Software,Software Installation,Medium,Resolved,Email,47.61,24,0,1
TKT-00182,103,1,2025-05-13 17:56:00,2025-05-13 21:18:48,Security,Suspicious Email,High,Closed,Phone,3.38,8,1,4
TKT-00183,71,10,2026-07-03 12:12:00,2026-07-03 19:33:36,Hardware,Battery/Power,Medium,Resolved,Portal,7.36,24,1,4
TKT-00184,53,6,2025-11-12 10:19:00,2025-11-12 19:04:00,Security,Malware Alert,Critical,Closed,Phone,8.75,4,0,1
TKT-00185,321,3,2026-05-15 07:36:00,2026-05-15 15:42:00,Hardware,Laptop Performance,Medium,Closed,Walk-up,8.10,24,1,5
TKT-00186,152,4,2026-05-18 13:15:00,2026-05-18 20:06:00,Software,Software Installation,Medium,Closed,Email,6.85,24,1,3
TKT-00187,7,10,2026-01-20 18:17:00,2026-01-21 08:54:12,Software,Application Access,Medium,Closed,Portal,14.62,24,1,3
TKT-00188,178,9,2026-03-30 15:33:00,2026-03-31 07:16:48,Software,Application Crash,High,Resolved,Portal,15.73,8,0,2
TKT-00189,276,7,2025-02-12 13:43:00,2025-02-12 15:52:00,Account Access,Password Reset,Medium,Resolved,Email,2.15,24,1,5
TKT-00190,314,2,2025-02-10 12:19:00,2025-02-10 15:29:48,Account Access,MFA Issue,High,Resolved,Email,3.18,8,1,3
TKT-00191,317,3,2025-10-20 14:08:00,2025-10-21 08:48:48,Account Access,Locked Account,High,Closed,Phone,18.68,8,0,2
TKT-00192,70,1,2026-01-02 13:48:00,2026-01-02 15:53:24,Printing,Print Queue Stuck,Medium,Resolved,Portal,2.09,24,1,4
TKT-00193,12,1,2026-07-31 16:41:00,2026-07-31 23:27:48,Hardware,Keyboard/Mouse,Critical,Resolved,Portal,6.78,4,0,3
TKT-00194,229,4,2026-04-16 12:13:00,2026-04-18 05:23:48,Account Access,MFA Issue,Medium,Closed,Phone,41.18,24,0,1
TKT-00195,387,7,2025-03-07 12:26:00,2025-03-07 13:32:00,Account Access,Password Reset,Medium,Resolved,Portal,1.10,24,1,3
TKT-00196,372,8,2025-04-07 18:40:00,2025-04-08 05:55:00,Security,Lost/Stolen Device,Medium,Resolved,Phone,11.25,24,1,5
